	sex	Age	major group3	year	gpax	Region	previous-edu	uni-activity	influ-major	influ-people	influ-wellknown	influ-quality	influ-careermarket	TYPE
0	1	3	1	1	1	3	2	1	2	1	2	2	2	5
1	2	3	6	1	4	2	3	1	0	2	2	2	0	0
2	1	3	2	3	1	2	1	1	2	2	0	2	2	4
3	2	1	3	0	2	2	3	1	0	0	0	2	2	2
4	2	0	5	0	1	2	5	1	0	2	0	0	2	4
5	2	3	3	3	4	2	2	0	2	0	2	1	2	10
6	1	3	6	3	2	0	2	1	0	2	2	2	0	4
7	2	1	3	0	1	2	2	1	0	2	0	0	0	6
8	1	3	7	4	2	2	1	1	0	1	2	0	2	12
9	2	3	1	4	2	2	5	1	0	2	2	0	0	12
10	1	2	3	0	2	2	2	1	0	1	2	2	2	7
11	1	3	3	1	4	2	5	1	2	0	2	2	1	5
12	1	1	1	0	1	3	2	1	2	0	0	2	2	11
13	2	3	3	2	1	0	2	1	0	0	0	0	0	4
14	2	2	1	0	4	3	3	1	2	2	2	2	2	7
15	2	1	5	0	4	3	2	1	0	2	0	2	2	15
16	1	3	1	3	2	2	5	1	0	1	2	0	0	4
17	1	3	2	4	2	2	5	1	0	0	2	2	0	5
18	1	3	1	3	1	2	2	1	2	2	0	0	2	1
19	1	3	4	3	1	2	5	0	2	2	2	2	2	1
20	1	3	4	3	1	2	5	0	2	2	2	2	2	1
21	1	3	2	3	2	2	5	0	2	2	2	0	2	13
22	2	0	6	4	1	2	3	1	0	2	2	0	2	4
23	2	3	3	3	1	2	3	1	0	2	2	0	2	6
24	1	3	3	1	4	2	5	1	0	2	2	0	2	4
25	2	3	6	4	4	2	5	1	0	2	2	0	2	4
26	1	0	6	2	1	2	2	1	0	2	2	0	2	6
27	2	3	6	3	4	0	5	1	0	1	0	2	2	2
28	1	3	6	3	1	1	2	1	0	0	0	2	0	6
29	1	3	1	4	4	4	3	1	0	2	2	0	0	6
30	2	0	1	4	4	2	3	1	0	0	0	0	2	6
31	2	3	1	1	4	2	5	1	0	0	2	2	0	6
32	1	0	5	2	1	2	5	1	0	0	0	0	0	6
33	2	3	1	4	1	0	3	1	0	0	2	2	0	6
34	1	3	1	4	1	0	3	1	0	0	2	2	0	6
35	1	3	0	3	1	0	3	1	0	0	0	2	2	15
36	2	1	2	0	2	1	1	1	0	2	2	0	2	4
37	1	0	0	2	1	2	3	1	0	2	0	0	0	6
38	1	0	4	2	2	2	2	1	0	1	0	0	0	8
39	2	3	7	3	4	5	5	1	0	0	0	0	2	6
40	1	2	3	0	2	2	2	1	0	2	0	0	0	4
41	2	3	1	4	1	0	5	1	0	0	0	0	0	6
42	2	3	1	4	1	3	5	1	0	2	0	0	0	6
43	2	0	7	2	2	3	3	1	0	2	0	0	2	6
44	1	3	6	1	1	0	2	1	2	2	2	2	2	7
45	2	3	3	1	4	2	5	1	2	2	2	2	2	2
46	2	3	3	2	1	2	2	1	0	0	2	0	0	4
47	2	3	3	3	1	2	2	1	0	0	0	0	0	4
48	2	3	3	3	4	0	2	1	0	0	2	0	0	0
49	2	3	3	3	1	0	2	1	0	2	0	2	0	6
50	2	3	3	3	4	4	2	1	0	2	2	0	0	7
51	2	3	3	3	4	2	2	1	0	0	2	2	0	6
52	1	3	1	3	3	2	2	0	0	2	2	0	0	0
53	1	0	1	4	2	2	5	1	0	2	0	2	0	6
54	2	1	1	0	1	2	3	1	0	1	0	2	0	6
55	2	0	1	0	2	0	3	1	0	0	2	0	2	0
56	2	1	2	0	2	3	2	1	0	2	0	0	2	0
57	1	3	1	3	1	0	5	1	0	1	2	2	2	8
58	1	3	0	1	1	0	1	1	0	0	0	0	2	4
59	1	2	1	0	1	3	5	1	0	2	0	0	0	6
60	2	3	0	3	1	2	5	1	0	2	0	0	0	8
61	2	3	3	4	1	0	5	1	0	1	0	0	0	6
62	2	1	7	0	1	2	2	1	0	2	0	0	2	6
63	2	3	3	1	4	0	3	1	2	0	2	0	2	6
64	2	3	3	2	1	0	2	1	0	2	2	0	0	2
65	1	3	3	4	1	2	2	1	2	0	2	2	0	1
66	2	3	3	1	1	0	1	0	2	2	1	2	0	13
67	2	0	6	0	1	1	1	0	0	2	2	1	2	13
68	0	3	4	4	2	2	2	1	0	0	2	2	0	2
69	2	3	3	3	4	2	5	1	0	0	2	2	2	1
70	1	3	6	2	1	0	1	1	2	2	2	2	2	7
71	2	3	0	1	4	3	1	1	2	2	0	0	2	6
72	2	0	6	0	1	2	2	1	2	2	0	0	0	2
73	0	3	0	4	4	5	5	1	0	2	2	0	0	13
74	2	3	3	2	1	5	5	0	2	2	0	0	0	4
75	2	0	5	0	1	2	2	1	2	2	2	0	2	0
76	2	3	6	3	2	1	2	1	2	2	0	2	0	5
77	2	3	5	4	4	2	1	1	2	2	2	2	2	3
78	0	3	3	1	1	0	5	1	2	2	0	0	0	8
79	1	3	6	4	4	2	2	1	2	0	0	2	0	2
80	1	3	4	4	1	2	1	1	2	0	2	0	1	3
81	2	3	3	1	4	0	5	1	2	2	2	0	0	3
82	2	3	3	4	1	0	2	1	0	0	0	2	0	2
83	1	3	2	3	1	2	1	1	2	2	0	0	2	15
84	1	3	2	2	1	2	1	1	2	0	2	2	0	6
85	1	3	2	3	2	2	1	1	0	2	1	2	0	4
86	1	3	2	2	1	2	1	1	2	2	0	0	0	4
87	1	3	7	1	4	0	1	1	0	0	1	2	0	5
88	0	3	7	3	1	0	1	1	2	2	0	0	0	10
89	1	0	7	0	1	2	1	1	2	2	1	1	2	14
90	1	3	1	2	4	3	2	1	0	2	2	2	0	7
91	0	3	3	3	4	3	2	0	0	2	2	0	0	6
92	0	3	3	3	4	2	5	1	2	2	2	0	0	15
93	2	3	4	3	1	3	2	1	0	0	0	0	0	5
94	2	0	6	0	4	3	2	1	2	0	2	2	2	5
95	2	3	6	2	4	3	2	1	2	1	0	2	0	12
96	2	3	1	3	1	3	2	1	2	2	0	1	0	2
97	2	3	3	3	4	3	2	1	0	0	0	0	0	4
98	2	3	3	3	4	3	2	0	0	0	0	2	2	5
99	2	3	3	3	1	3	1	1	2	0	0	2	0	6
100	0	3	4	3	1	3	1	1	0	0	2	0	2	12
101	1	1	1	0	1	3	2	1	0	2	2	0	0	15
102	1	3	1	1	4	3	2	1	0	0	0	2	0	0
103	1	3	1	1	4	3	2	1	0	2	0	2	2	6
104	2	3	7	4	2	3	1	1	1	2	2	0	2	13
105	2	3	6	1	4	3	1	1	2	0	2	0	2	8
106	2	3	6	2	1	3	1	0	2	2	2	2	2	3
107	2	3	3	3	4	3	2	1	0	0	0	2	0	4
108	2	0	0	0	1	3	1	1	2	2	2	0	2	2
109	1	3	4	3	1	3	1	1	0	2	0	2	2	7
110	2	3	0	2	1	3	1	1	2	2	0	2	0	6
111	1	3	1	4	1	3	2	0	2	0	2	0	2	14
112	2	3	3	4	1	3	1	1	2	2	2	0	2	4
113	2	3	3	4	1	5	2	1	2	2	0	2	0	6
114	2	1	3	0	1	1	2	1	2	0	0	2	0	2
115	2	3	1	1	4	0	1	1	2	2	2	0	0	6
116	2	3	3	2	4	0	1	1	2	2	2	2	2	1
117	2	3	3	3	2	2	1	1	0	2	2	0	0	4
118	2	3	5	4	1	2	5	1	0	2	0	2	2	6
119	1	1	7	0	1	2	1	1	2	2	0	2	2	4
120	1	3	7	3	1	0	1	1	2	2	2	2	2	11
121	2	3	2	1	1	2	1	1	2	2	2	0	0	7
122	1	3	0	2	1	0	1	1	2	2	2	0	0	3
123	1	3	0	2	4	0	1	0	0	2	2	0	0	1
124	2	3	0	3	1	0	1	1	2	2	1	2	2	2
125	0	3	0	4	1	0	1	1	0	2	0	2	2	4
126	1	3	7	1	1	0	1	1	2	2	2	2	0	1
127	2	3	3	2	1	5	2	1	2	0	0	0	0	2
128	1	3	5	3	1	2	1	1	2	0	0	0	2	3
129	1	3	0	4	1	0	1	1	0	0	0	0	0	14
130	1	3	1	3	1	2	2	1	2	2	0	0	0	4
131	2	3	3	2	1	4	1	1	2	2	2	2	0	4
132	0	3	5	4	4	5	1	1	2	0	2	0	2	3
133	1	3	0	3	4	0	1	0	2	2	2	0	0	6
134	1	3	5	1	4	0	1	1	0	2	1	2	2	2
135	1	3	3	4	1	0	1	1	2	0	2	0	0	12
136	2	3	3	3	1	0	1	1	2	2	2	2	2	9
137	0	0	0	0	1	0	1	1	2	0	0	2	0	7
138	2	3	1	1	4	2	1	1	2	0	2	0	2	13
139	2	0	1	0	1	0	1	1	2	2	2	2	2	7
140	1	3	0	2	4	0	1	1	1	1	2	2	2	5
141	2	3	0	4	1	0	1	1	2	2	0	2	2	6
142	2	3	3	4	1	1	2	1	0	2	0	0	0	10
143	2	3	3	4	1	0	1	1	2	0	2	0	0	7
144	1	3	7	3	1	0	1	1	2	2	2	0	0	12
145	0	3	7	3	1	0	1	1	2	0	2	2	2	7
146	1	3	2	4	1	0	1	1	2	2	2	0	2	3
147	1	3	4	4	1	2	1	1	0	0	0	2	2	6
148	1	3	4	3	4	2	1	1	2	0	0	2	2	12
149	1	3	4	3	4	2	2	1	2	0	2	2	0	2
150	2	3	3	2	4	2	2	1	0	0	2	0	0	4
151	2	3	3	4	1	2	2	1	0	0	2	0	0	3
152	0	3	0	4	1	0	1	1	0	2	2	2	0	7
153	0	3	1	4	2	2	5	1	0	2	0	0	0	6
154	1	3	4	1	1	0	2	1	0	0	0	0	0	4
155	0	0	7	2	1	2	5	1	0	0	0	0	2	6
156	1	3	3	3	2	2	2	1	0	2	0	0	0	6
157	2	3	6	3	4	2	3	1	0	1	0	2	2	10
158	2	0	3	3	2	2	5	1	0	2	0	2	0	4
159	2	3	4	2	1	0	2	1	0	0	0	0	0	2
160	2	3	1	1	2	0	1	0	1	2	0	2	0	1
161	2	0	4	0	1	2	2	1	0	0	2	0	0	0
162	1	3	1	4	3	2	2	0	0	1	2	0	0	7
163	0	3	2	4	1	2	2	1	0	1	0	2	2	4
164	1	3	4	3	4	2	2	1	0	0	0	2	0	2
165	0	3	1	1	2	2	1	0	1	2	2	0	2	3
166	1	0	3	4	1	3	2	1	0	1	0	0	0	2
167	2	3	3	4	4	1	2	1	2	0	0	0	0	14
168	2	3	3	2	1	5	2	1	0	0	0	0	2	2
169	2	3	3	4	4	0	2	1	0	0	0	0	0	11
170	2	3	3	3	4	5	2	1	0	0	0	2	0	4
171	1	3	0	3	1	0	1	1	2	2	0	2	2	14
172	1	3	4	4	4	0	2	1	0	0	2	2	0	4
173	1	3	4	4	1	2	2	1	2	0	0	0	0	6
174	1	3	4	3	1	0	2	1	0	2	0	0	0	6
175	1	3	4	2	4	0	2	1	0	2	2	2	2	15
176	1	3	0	1	1	2	1	1	2	0	2	2	2	2
177	0	3	2	3	1	3	2	1	2	0	2	2	1	6
178	2	0	3	3	3	2	5	0	1	0	2	1	2	10
179	0	3	0	3	1	2	1	1	0	0	0	0	0	0
180	2	3	3	1	4	2	3	0	2	1	1	2	2	14
181	1	3	0	1	1	1	1	1	2	2	2	2	2	4
182	2	3	1	3	3	0	2	0	1	0	0	0	2	9
183	2	3	7	3	4	2	1	1	2	2	2	0	2	8
184	2	0	7	1	1	0	1	1	2	0	0	0	0	1
185	0	0	3	1	1	0	4	0	0	1	0	0	1	15
186	0	3	1	1	3	0	4	0	1	0	0	0	2	10
187	1	3	6	4	4	2	2	1	0	2	0	2	0	4
188	1	3	7	2	1	2	1	1	2	2	0	2	0	3
189	2	3	3	3	4	0	2	1	0	0	0	0	0	12
190	2	3	3	3	4	0	2	1	0	2	2	0	0	8
191	1	3	3	3	4	4	2	1	0	0	2	0	0	12
192	2	1	3	0	3	0	3	0	2	2	0	0	0	5
193	2	3	0	4	1	1	1	1	2	1	2	0	0	14
194	2	3	0	2	4	0	1	1	2	0	2	0	2	15
195	1	3	0	3	1	0	1	1	2	2	2	0	0	2
196	2	3	1	2	1	0	1	1	2	2	1	2	2	9
197	1	3	0	3	1	0	1	0	2	2	2	2	2	6
198	1	3	7	1	1	0	1	1	2	2	2	2	0	3
199	1	3	2	3	1	0	1	1	2	2	2	2	2	4
200	2	3	3	3	4	0	2	1	0	0	0	0	0	15
201	2	3	3	2	1	0	2	1	0	0	2	0	0	8
202	1	3	0	3	1	3	1	1	2	2	2	2	2	4
203	2	3	3	4	1	3	2	1	0	0	0	0	0	6
204	1	3	4	3	1	2	2	1	0	0	0	0	0	15
205	1	1	0	0	1	3	1	1	2	2	2	0	0	6
206	1	0	0	0	1	3	1	1	2	0	2	2	2	11
207	1	3	4	2	1	1	2	1	2	2	0	0	0	2
208	2	3	4	3	1	5	2	1	0	0	2	2	0	6
209	2	3	2	4	4	0	1	1	2	0	2	2	2	7
210	1	1	7	0	2	0	1	1	1	2	2	2	2	4
211	0	3	0	4	1	2	1	1	2	2	2	2	2	1
212	2	3	6	3	4	0	1	1	2	2	2	2	2	0
213	1	3	7	1	4	3	1	1	2	1	1	2	2	6
214	2	0	3	0	1	1	2	1	0	0	0	0	0	7
215	1	3	0	1	4	3	1	1	2	2	2	2	2	15
216	2	3	6	4	4	4	2	1	2	2	2	2	0	6
217	2	3	0	3	1	0	1	1	2	2	2	2	0	7
218	1	3	6	1	4	0	1	1	2	2	0	0	2	4
219	1	3	4	3	1	0	2	1	2	0	0	2	2	2
220	1	3	6	2	1	1	1	1	2	2	2	2	2	6
221	1	0	7	3	4	0	5	1	2	1	0	2	0	9
222	1	1	6	0	4	1	1	1	2	0	0	2	2	4
223	1	3	2	3	1	0	2	1	1	2	1	2	2	3
224	0	0	3	0	1	0	5	1	2	2	2	2	2	1
225	0	0	2	2	1	0	2	1	2	1	0	0	0	10
226	1	3	4	4	1	0	2	1	1	2	0	2	2	10
227	2	3	0	3	4	0	1	1	0	0	2	2	2	7
228	1	3	6	2	1	3	1	1	2	2	0	2	2	5
229	1	3	7	1	3	0	3	0	0	2	2	0	0	2
230	1	3	6	3	4	0	1	1	2	2	0	2	2	4
231	1	0	3	0	1	5	3	0	2	2	2	0	2	14
232	1	3	6	3	4	5	2	1	0	2	2	0	2	6
233	2	3	3	3	1	3	5	1	2	0	2	0	0	4
234	1	0	0	1	4	2	1	0	1	1	2	2	2	4
235	2	3	3	3	4	3	5	1	2	0	2	2	2	6
236	2	0	1	1	2	2	2	1	0	1	0	2	0	7
237	2	3	3	3	4	0	2	1	0	0	0	0	0	14
238	0	0	6	0	2	2	2	1	0	1	0	2	2	10
239	0	0	5	1	4	2	1	1	1	0	2	0	2	4
240	0	0	7	1	4	2	1	1	2	0	2	1	1	10
241	1	0	4	3	1	2	2	1	1	1	0	0	2	2
242	1	0	7	4	1	3	1	0	1	0	0	2	1	8
243	0	3	0	3	4	3	1	0	0	1	0	2	2	12
244	1	3	6	1	1	2	2	1	2	2	0	2	0	6
245	1	3	6	1	4	0	2	1	2	0	2	2	0	2
246	0	0	1	3	1	3	4	0	1	1	0	0	2	14
247	0	0	1	1	1	3	1	0	2	2	0	0	2	5
248	1	0	0	1	4	3	1	0	2	1	0	2	0	0
249	0	3	7	1	1	3	3	0	2	2	0	2	0	4
250	2	0	7	0	1	0	1	1	2	1	2	1	2	6
251	0	0	0	1	1	3	1	0	2	2	0	2	0	3
252	0	3	4	1	1	3	2	0	2	2	2	2	0	6
253	0	3	6	1	2	0	2	1	1	2	0	2	2	12
254	1	3	0	3	1	0	5	0	2	0	0	2	2	12
255	1	0	0	2	1	0	1	0	2	2	0	0	0	12
256	1	0	0	3	1	0	1	1	0	0	0	2	2	15
257	1	0	6	3	1	0	2	0	0	1	0	0	0	7
258	2	0	1	3	1	1	5	0	2	2	2	2	0	2
259	0	3	1	1	2	1	2	0	0	1	0	0	0	10
260	0	3	1	1	1	1	4	0	2	0	0	0	1	14
261	0	3	7	1	1	1	1	1	2	0	0	0	0	8
262	0	3	1	3	0	4	2	1	0	0	0	0	0	3
263	0	3	1	3	1	4	1	1	0	2	0	2	2	7
264	0	3	7	1	1	4	5	0	2	0	2	0	2	4
265	0	0	7	1	1	4	1	1	2	0	2	0	2	5
266	0	0	1	1	1	4	5	0	0	0	0	0	1	3
267	0	3	2	3	2	4	2	0	1	2	2	2	2	2
268	1	0	0	0	2	4	1	0	2	2	2	2	2	3
269	2	3	1	3	3	4	1	0	2	0	2	2	1	6
270	1	3	1	3	4	4	3	0	1	0	0	0	2	12
271	0	3	2	3	1	4	2	0	2	2	0	0	2	12
272	1	0	2	4	1	2	2	1	2	0	0	0	2	10
273	2	0	2	4	1	2	2	0	2	2	0	0	0	6
274	2	0	1	0	1	2	3	0	2	2	2	2	2	12
275	1	3	1	3	2	2	5	0	2	2	2	2	2	14
276	1	0	7	3	1	2	3	0	2	2	0	0	2	3
277	2	0	7	3	4	2	4	0	2	1	0	0	2	12
278	1	3	0	3	1	2	4	0	0	1	0	2	2	15
279	2	3	7	3	1	2	1	0	0	1	0	2	2	5
280	2	0	2	0	1	2	2	0	2	0	0	0	2	8
281	0	0	1	3	1	2	5	0	2	0	2	2	2	12
282	1	0	3	2	1	2	3	0	2	0	0	2	0	0
283	0	3	3	1	1	2	2	0	0	0	0	2	0	6
284	1	0	1	1	4	2	3	0	2	2	0	2	1	12
285	0	0	4	3	2	2	2	0	2	0	0	0	0	9
286	2	3	3	4	4	1	2	1	0	0	0	2	0	12
287	2	3	3	4	4	1	2	1	2	2	0	0	0	7
288	2	3	3	4	1	3	2	1	2	2	2	2	0	6
289	1	3	3	4	1	1	2	1	2	0	0	2	0	6
290	1	3	3	4	4	0	2	1	2	0	0	2	2	14
291	2	3	3	4	4	2	2	1	2	2	0	0	0	4
292	1	3	3	4	1	0	2	1	2	2	2	2	0	5
293	1	3	3	4	1	0	2	1	2	2	2	2	0	14
294	2	3	3	4	4	3	2	1	2	2	2	2	0	7
295	1	3	3	4	1	5	2	1	2	2	2	0	0	15
296	1	3	3	4	1	3	2	1	0	2	2	2	0	15
297	1	3	3	4	1	3	2	1	2	2	0	0	0	5
298	1	3	3	4	4	3	2	1	2	2	2	2	0	4
299	2	3	3	4	1	4	2	1	2	2	0	0	0	7
300	2	3	3	4	4	5	2	1	2	0	1	0	0	3
301	1	3	3	4	1	3	2	1	2	2	2	1	2	7
302	2	3	3	4	1	3	2	1	2	0	2	1	0	3
303	2	3	3	4	4	0	2	1	2	2	2	2	0	6
304	1	3	3	4	1	4	2	1	2	2	2	0	2	6
305	1	3	3	4	1	0	2	1	2	1	1	0	0	6
306	2	3	2	3	1	0	1	1	1	1	0	0	2	9
307	1	3	4	3	1	2	2	1	0	0	0	0	0	6
308	1	3	2	3	4	0	2	1	2	2	2	2	2	6
309	0	3	0	4	2	2	2	1	0	1	0	0	0	3
310	1	3	2	3	1	0	2	1	2	0	1	0	1	7
311	2	0	0	2	2	2	1	1	0	0	2	0	0	4
312	1	3	2	3	1	0	1	1	1	1	2	2	0	10
313	2	0	3	0	2	0	3	1	0	0	0	0	0	6
314	2	3	2	3	4	1	1	1	2	0	2	0	2	5
315	1	3	2	3	1	2	1	1	2	1	2	1	0	1
316	1	0	3	4	2	0	5	1	0	0	0	2	2	8
317	1	3	2	3	1	0	2	1	2	2	0	2	2	6
318	1	3	2	3	2	0	1	1	2	2	2	2	2	4
319	2	3	2	3	1	1	1	1	1	2	0	0	0	12
320	0	3	2	3	1	0	2	1	2	1	2	2	1	2
321	0	0	2	1	4	3	4	0	0	2	0	0	2	14
322	0	0	2	0	1	2	2	0	2	1	1	1	1	3
323	2	3	0	0	2	5	1	0	2	1	2	2	2	13
324	2	0	3	2	1	2	3	1	2	0	0	2	0	13
325	2	0	5	4	1	3	3	1	2	0	0	2	1	13
326	0	3	0	4	4	3	1	1	2	0	2	1	2	13
327	2	3	3	1	4	3	3	1	2	2	1	2	2	7
328	2	3	3	1	1	3	5	1	1	0	2	0	0	7
329	2	3	3	1	1	2	3	1	2	0	0	0	1	6
330	2	3	3	1	1	2	5	1	2	0	2	2	2	6
331	2	3	3	1	1	2	3	1	2	0	2	2	1	3
332	2	3	3	1	4	2	3	0	1	2	0	0	2	12
333	2	3	3	1	1	2	3	0	0	2	2	2	2	14
334	2	3	3	1	1	2	3	1	1	2	2	0	2	7
335	2	3	3	1	2	2	3	0	2	2	2	1	2	7
336	2	3	3	1	2	2	3	0	2	2	2	0	2	4
337	1	3	7	3	1	2	5	1	0	0	2	2	0	0
338	1	3	7	3	1	2	1	1	2	2	1	2	2	2
339	2	3	7	3	4	2	5	1	0	0	2	2	2	6
340	1	3	7	3	2	2	5	1	0	0	0	0	0	6
341	2	3	7	3	4	2	5	1	2	1	1	1	2	3
342	2	3	1	3	2	2	5	1	0	0	0	0	0	6
343	1	3	7	3	1	2	5	1	2	2	2	2	2	4
344	2	3	0	3	1	2	2	1	0	1	0	0	2	6
345	0	3	5	3	4	2	1	1	2	0	0	0	2	6
346	1	3	7	3	4	2	5	1	2	2	2	2	1	11
347	0	0	0	2	2	0	5	1	0	1	2	0	2	2
348	1	3	7	3	1	5	1	1	2	0	2	1	0	4
349	0	3	1	1	1	0	2	0	1	0	1	2	0	12
350	1	3	7	3	1	2	5	0	2	1	2	2	1	6
351	1	0	3	2	1	2	2	1	0	2	2	0	2	6
352	0	0	3	1	1	3	3	1	0	0	0	0	0	1
353	0	0	7	4	1	3	1	1	2	0	2	1	1	12
354	2	3	3	3	2	2	2	1	0	0	0	0	0	8
355	0	0	1	1	2	3	4	0	2	2	0	1	1	11
356	1	3	0	3	1	2	5	1	0	2	0	0	0	2
357	1	3	4	1	2	0	2	0	0	1	0	2	0	3
358	1	3	7	3	1	2	5	1	2	0	2	0	2	0
359	1	3	7	3	1	2	1	0	1	0	2	2	1	7
360	1	3	4	1	2	3	2	0	2	2	0	2	1	2
361	2	0	3	4	2	2	2	1	0	2	0	0	0	6
362	1	3	0	3	4	2	2	1	0	0	0	0	2	6
363	1	3	1	2	1	2	1	1	2	2	1	2	0	2
364	1	3	1	2	4	2	1	1	2	1	2	2	2	4
365	1	3	1	2	2	2	1	1	2	2	0	2	1	6
366	2	3	4	1	2	2	2	1	0	2	0	0	0	12
367	1	3	1	2	1	2	1	1	2	2	2	2	2	4
368	1	3	0	3	1	3	1	0	0	1	0	1	2	14
369	1	3	1	2	1	2	1	1	2	1	2	2	2	5
